C00121	C00309
C00122	C00149
C00020	C03794
C00122	C03794
C00022	C02514
C00122	C02514
C00062	C03406
C00122	C03406
C00122	C01384
C00123	C02710
C00123	C02486
C00124	C00446
C00124	C02669
C00124	C00880
C00124	C03269
C00031	C05402
C00124	C05402
C00124	C00492
C00124	C05401
C00124	C05796
C00736	C01420
C01817	C05330
C00128	C00270
C00063	C00128
C00129	C01143
C00235	C04432
C00129	C00235
C00130	C04734
C00117	C00130
C00130	C00655
C00119	C00130
C00130	C00144
C00049	C03794
C00130	C03794
C00036	C03716
C00132	C03716
C00132	C02704
C00064	C03738
C00133	C03738
C00133	C00993
C00134	C02723
C00033	C02714
C00086	C00179
C00134	C00179
C00135	C00860
C00135	C01152
C00135	C02997
C00135	C03277
C00135	C01929
C00135	C00388
C00135	C00785
C00136	C02527
C00136	C05269
C00048	C01989
C00136	C00630
C00137	C00691
C00137	C00191
C00137	C03546
C00137	C04006
C00137	C03659
C00137	C03660
C00137	C06352
C00093	C01225
C00137	C01225
C00124	C01235
C00100	C00109
C00033	C00140
C00140	C00611
C00140	C00461
C00140	C00645
C00141	C04039
C00141	C00630
C00141	C01088
C00141	C02504
C00067	C00966
C00133	C02115
C00144	C00242
C00119	C00144
C00144	C01261
C00144	C00394
C00144	C00942
C00145	C02885
C00145	C02085
C00146	C00156
C00146	C01403
C03097	C15584
C00033	C00548
C00146	C00548
C00850	C15584
C00147	C00262
C00121	C00212
C00148	C01157
C00148	C00763
C00010	C04348
C00151	C05710
C00060	C02850
C00151	C02850
C00151	C03148
C00151	C00405
C00140	C04540
C00152	C04540
C00152	C02512
C00153	C00253
C00153	C02918
C00117	C00455
C00119	C00455
C00121	C03150
C00154	C00517
C00065	C02934
C00109	C00155
C00155	C00283
C00022	C00542
C00022	C02291
C00155	C01118
C00065	C00542
C00065	C02291
C00155	C03539
C00155	C01817
C00156	C00180
C00156	C00251
C00156	C03993
C00156	C02519
C00156	C02370
C00033	C00811
C00156	C00811
C00157	C00670
C00157	C00416
C00157	C00588
C00157	C00219
C00060	C00157
C00157	C04308
C00010	C00566
C00158	C00311
C00158	C00417
C00159	C03862
C00124	C05400
C00159	C05400
C00159	C02492
C00160	C00266
C00160	C00988
C00122	C03600
C00160	C03600
C00161	C02613
C00045	C00161
C00162	C03395
C00116	C01885
C00162	C01885
C00116	C02112
C00162	C02112
C00163	C02876
C00002	C05983
C00163	C05983
C00024	C00356
C00164	C00356
C00164	C01089
C00122	C01061
C00164	C01061
C00164	C06144
C00165	C02112
C00060	C00422
C00166	C05852
C00166	C00254
C00166	C00601
C00166	C02763
C00167	C05385
C00167	C00190
C00167	C00617
C00167	C02330
C00168	C00975
C00168	C00266
C00168	C01146
C00169	C01563
C00047	C02427
C00169	C02427
C00169	C00438
C00169	C00327
C00169	C00436
C00170	C03089
C00170	C04188
C00173	C00638
C00488	C01326
C00071	C05712
C00178	C02376
C00178	C03088
C00179	C00436
C00179	C02726
C00086	C03047
C00179	C03047
C00009	C06206
C00180	C06206
C00180	C00512
C00020	C06433
C00180	C06433
C00180	C01586
C00179	C02253
C00180	C02253
C00033	C00423
C00180	C00423
C00181	C00379
C00181	C00310
C00181	C02352
C00183	C02787
C00185	C04534
C00031	C06219
C00185	C06219
C00185	C02964
C00186	C00424
C00256	C17205
C00186	C00256
C00187	C15992
C00187	C05418
C00187	C05500
C00187	C01802
C00187	C00599
C00031	C03855
C00187	C03855
C00187	C03594
C00188	C03508
C00188	C01102
C00188	C00820
C00189	C00346
C00189	C00266
C00093	C01233
C00189	C01233
C00190	C03737
C00075	C00190
C00190	C00935
C00191	C05385
C00069	C03033
C00191	C03033
C00069	C06370
C00191	C06370
C00191	C00800
C00191	C00905
C00191	C02670
C00191	C03387
C00192	C03124
C00194	C00853
C00060	C00195
C00162	C00195
C00031	C01190
C00195	C03701
C00124	C02686
C00195	C06062
C00002	C04030
C00196	C04030
C00196	C04171
C00196	C03666
C00196	C04480
C00196	C00587
C00197	C03232
C00009	C01159
C00197	C01159
C00197	C00631
C00198	C00257
C00199	C01182
C00199	C00309
C00199	C00345
C00199	C00231
C00199	C01112
C00067	C06019
C00199	C06019
C00202	C03113
C00204	C00257
C00204	C00817
C00204	C04442
C00204	C04349
C00204	C04471
C00204	C03752
C00206	C00360
C00207	C01845
C00207	C02659
C00031	C00208
C00208	C00663
C00208	C02130
C00212	C00294
C00212	C01367
C00213	C01043
C00086	C00300
C00213	C00300
C00216	C01112
C00022	C01187
C00216	C01187
C00216	C00309
C00217	C00819
C00060	C06379
C00217	C06379
C00217	C02237
C00218	C02721
C00025	C03153
C00218	C03153
C00218	C01046
C00026	C03623
C00218	C03623
C00218	C00543
C00067	C00543
C00086	C02294
C00218	C02294
C00219	C05956
C00219	C05966
C00219	C04822
C00219	C05356
C00219	C05965
C00219	C02249
C00219	C00427
C00221	C01172
C00221	C00267
C00222	C01013
C00222	C03071
C00222	C00804
C00223	C05608
C00223	C00811
C00179	C04498
C00224	C01260
C00059	C00224
C00227	C02727
C00010	C00054
C00230	C02637
C00230	C00587
C00230	C01163
C00230	C04484
C00230	C06318
C00230	C03223
C00230	C03233
C00230	C02236
C00007	C00094
C00231	C00310
C00117	C05382
C00232	C00989
C00022	C05601
C00232	C05601
C00022	C06201
C00232	C06201
C00232	C00334
C00033	C01215
C00232	C01215
C00232	C05715
C00233	C02939
C00233	C04236
C00025	C05928
C00234	C05928
C00234	C00445
C00078	C04290
C00235	C04290
C00129	C00341
C00235	C00341
C00129	C02569
C00236	C01159
C00239	C00365
C00239	C00458
C00239	C03997
C00239	C03495
C00242	C00385
C00121	C00387
C00243	C00267
C00243	C05403
C00245	C00519
C00245	C00506
C00245	C01616
C00022	C01616
C00245	C05844
C00246	C02527
C00246	C01771
C00130	C06435
C00246	C06435
C00248	C00579
C00249	C01948
C00249	C00517
C00229	C05764
C00249	C05764
C00250	C00971
C00250	C00847
C00251	C01269
C00251	C00254
C00251	C00885
C00252	C00267
C00253	C01020
C00253	C01004
C00253	C03003
C00037	C05380
C00253	C05380
C00254	C00826
C00255	C00474
C00255	C01727
C00255	C03114
C00256	C00937
C00256	C03451
C00257	C00345
C00258	C00631
C00258	C00898
C00258	C00577
C00259	C03906
C00259	C01114
C00259	C02761
C00259	C00508
C00261	C00556
C00261	C02137
C00037	C03290
C00261	C03290
C00261	C00561
C00121	C00294
C00263	C01102
C00263	C01077
C00263	C01118
C00264	C00640
C00264	C01086
C00264	C01656
C00266	C01380
C00022	C03826
C00266	C03826
C00111	C06441
C00266	C06441
C00267	C00794
C00267	C00721
C00079	C00082
C00269	C02255
C00065	C02737
C00093	C03892
C00137	C01194
C00074	C00270
C00270	C06241
C00270	C04015
C00270	C04016
C00270	C04017
C00022	C00270
C00272	C06313
C00272	C04244
C00078	C00643
C00108	C00632
C00275	C00644
C00275	C00636
C00275	C05345
C00279	C03393
C00074	C04691
C00279	C04691
C05345	C05382
C00111	C00447
C00279	C00447
C00279	C05345
C00280	C04676
C00280	C00674
C00280	C03772
C00280	C05290
C00084	C01176
C00280	C01176
C02076	C05382
C00283	C00409
C00013	C00286
C00286	C00362
C00286	C00330
C00288	C00683
C00292	C00568
C00292	C06011
C00060	C01402
C00292	C01402
C00294	C00620
C00295	C01103
C00119	C01103
C00022	C00793
C00299	C01368
C00299	C00475
C00299	C00526
C00300	C00581
C00300	C00791
C00301	C01201
C00302	C05715
C00307	C00588
C00063	C00307
C00309	C00474
C00310	C00379
C00310	C00476
C00311	C05379
C00311	C00417
C00312	C03291
C00312	C06441
C00312	C00532
C00312	C00618
C00312	C01508
C00313	C00798
C00314	C06051
C00314	C03996
C00314	C06056
C00314	C06257
C00134	C00315
C00318	C02290
C00318	C02990
C00162	C02301
C00318	C02301
C00318	C04114
C00319	C01747
C00319	C03640
C00320	C01861
C00320	C01755
C00322	C02360
C00322	C00527
C00322	C05662
C00322	C05533
C00322	C00956
C06157	C15972
C00322	C06157
C00323	C10945
C00323	C00406
C00323	C01197
C00134	C03002
C00311	C02927
C00325	C02985
C00044	C00325
C00049	C03406
C00327	C03406
C00058	C02700
C00328	C02700
C00328	C03227
C00329	C03752
C00329	C01075
C00329	C06023
C00242	C00330
C00330	C00672
C00331	C02043
C00331	C03914
C00331	C05644
C00331	C00637
C00332	C03561
C00332	C00356
C00333	C04037
C00333	C00879
C00333	C00470
C00333	C00558
C00033	C02946
C00334	C02946
C00086	C01035
C00337	C00438
C00339	C00347
C00339	C02434
C00129	C00448
C00341	C00448
C00341	C02344
C00341	C02462
C00341	C03190
C00341	C06074
C00341	C00521
C00002	C00131
C00008	C00206
C00015	C01346
C00035	C00361
C00044	C00286
C00063	C00458
C00075	C00460
C00112	C00705
C00073	C02989
C00093	C00344
C00344	C03892
C00344	C05980
C00345	C01236
C00345	C04442
C00346	C01210
C00346	C00570
C00063	C00570
C00347	C00609
C00025	C04305
C00347	C04305
C00189	C04080
C00347	C04080
C00349	C01188
C00189	C00350
C00350	C00416
C00346	C00350
C00350	C02737
C00350	C01241
C00033	C00357
C00129	C00353
C00353	C00448
C00353	C01414
C00353	C03427
C00353	C06089
C01094	C05378
C00355	C04796
C00355	C04797
C00355	C04045
C00355	C03758
C00356	C00418
C00356	C03761
C00356	C03231
C00357	C04257
C00361	C00362
C00009	C00363
C00365	C01346
C00365	C00460
C00364	C00365
C00366	C11821
C00103	C00369
C00208	C00369
C00370	C03641
C00162	C01958
C00371	C03423
C00371	C03300
C00376	C00473
C00376	C02110
C00378	C02892
C00378	C01279
C00379	C02895
C00121	C00475
C00381	C02536
C00385	C05515
